filepath,description,refactoring_suggestion
btBulletCollisionAll.cpp,Aggregation file including all BulletCollision sources,Skip - aggregation file not needed in TypeScript with proper module system
btBulletCollisionCommon.h,Common includes/headers for BulletCollision system,Transform into TypeScript barrel export file (index.ts) for BulletCollision module
btBulletDynamicsAll.cpp,Aggregation file including all BulletDynamics sources,Skip - aggregation file not needed in TypeScript with proper module system
btBulletDynamicsCommon.h,Common includes/headers for BulletDynamics system,Transform into TypeScript barrel export file (index.ts) for BulletDynamics module
btLinearMathAll.cpp,Aggregation file including all LinearMath sources,Skip - aggregation file not needed in TypeScript with proper module system
Bullet3Collision/BroadPhaseCollision/b3BroadphaseCallback.h,GPU broadphase collision callback interface,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/BroadPhaseCollision/b3DynamicBvh.cpp,GPU dynamic bounding volume hierarchy implementation,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/BroadPhaseCollision/b3DynamicBvh.h,GPU dynamic bounding volume hierarchy header,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/BroadPhaseCollision/b3DynamicBvhBroadphase.cpp,GPU dynamic BVH broadphase implementation,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/BroadPhaseCollision/b3DynamicBvhBroadphase.h,GPU dynamic BVH broadphase header,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/BroadPhaseCollision/b3OverlappingPair.h,GPU overlapping pair data structure,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/BroadPhaseCollision/b3OverlappingPairCache.cpp,GPU overlapping pair cache implementation,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/BroadPhaseCollision/b3OverlappingPairCache.h,GPU overlapping pair cache header,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/BroadPhaseCollision/shared/b3Aabb.h,GPU shared AABB data structure,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/NarrowPhaseCollision/b3Config.h,GPU collision detection configuration,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/NarrowPhaseCollision/b3Contact4.h,GPU contact point data structure (4 contacts),Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/NarrowPhaseCollision/b3ConvexUtility.cpp,GPU convex utility functions implementation,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/NarrowPhaseCollision/b3ConvexUtility.h,GPU convex utility functions header,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/NarrowPhaseCollision/b3CpuNarrowPhase.cpp,GPU CPU fallback narrow phase collision,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/NarrowPhaseCollision/b3CpuNarrowPhase.h,GPU CPU fallback narrow phase header,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/NarrowPhaseCollision/b3RaycastInfo.h,GPU raycast information structure,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Collision/NarrowPhaseCollision/b3RigidBodyCL.h,GPU rigid body OpenCL data structure,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Common/b3AlignedAllocator.cpp,GPU aligned memory allocator implementation,Skip - memory management not needed in TypeScript
Bullet3Common/b3AlignedAllocator.h,GPU aligned memory allocator header,Skip - memory management not needed in TypeScript
Bullet3Common/b3AlignedObjectArray.h,GPU aligned object array template,Replace with native TypeScript arrays (T[])
Bullet3Common/b3CommandLineArgs.h,GPU command line argument parsing utility,Skip - not applicable to TypeScript library
Bullet3Common/b3FileUtils.h,GPU file utility functions,Skip or replace with Node.js fs module equivalents if needed
Bullet3Common/b3HashMap.h,GPU hash map implementation,Replace with native TypeScript Map<K,V> or object literals
Bullet3Common/b3Logging.cpp,GPU logging implementation,Replace with console logging or custom TypeScript logger
Bullet3Common/b3Logging.h,GPU logging header,Replace with console logging or custom TypeScript logger
Bullet3Common/b3Matrix3x3.h,GPU 3x3 matrix math,Duplicate of LinearMath btMatrix3x3 - skip and use main LinearMath version
Bullet3Common/b3MinMax.h,GPU min/max utility functions,Duplicate of LinearMath btMinMax - skip and use main LinearMath version
Bullet3Common/b3PoolAllocator.h,GPU pool allocator template,Skip - memory management not needed in TypeScript
Bullet3Common/b3QuadWord.h,GPU 4-component vector base class,Duplicate of LinearMath functionality - skip
Bullet3Common/b3Quaternion.h,GPU quaternion math,Duplicate of LinearMath btQuaternion - skip and use main LinearMath version
Bullet3Common/b3Random.h,GPU random number utilities,Replace with Math.random() or crypto.getRandomValues()
Bullet3Common/b3ResizablePool.h,GPU resizable memory pool,Skip - memory management not needed in TypeScript
Bullet3Common/b3Scalar.h,GPU scalar type definitions,Duplicate of LinearMath btScalar - skip and use main LinearMath version
Bullet3Common/b3StackAlloc.h,GPU stack allocator,Skip - memory management not needed in TypeScript
Bullet3Common/b3Transform.h,GPU transformation matrix,Duplicate of LinearMath btTransform - skip and use main LinearMath version
Bullet3Common/b3TransformUtil.h,GPU transform utility functions,Duplicate of LinearMath functionality - skip
Bullet3Common/b3Vector3.cpp,GPU 3D vector implementation,Duplicate of LinearMath btVector3 - skip and use main LinearMath version
Bullet3Common/b3Vector3.h,GPU 3D vector header,Duplicate of LinearMath btVector3 - skip and use main LinearMath version
Bullet3Common/shared/b3Float4.h,GPU 4-component float vector,Skip - GPU-specific SIMD type not applicable
Bullet3Common/shared/b3Int2.h,GPU 2-component integer vector,Skip - GPU-specific SIMD type not applicable
Bullet3Common/shared/b3Int4.h,GPU 4-component integer vector,Skip - GPU-specific SIMD type not applicable
Bullet3Common/shared/b3Mat3x3.h,GPU 3x3 matrix for OpenCL kernels,Skip - GPU-specific kernel code not applicable
Bullet3Common/shared/b3PlatformDefinitions.h,GPU platform-specific definitions,Skip - platform-specific code not needed in TypeScript
Bullet3Common/shared/b3Quat.h,GPU quaternion for OpenCL kernels,Skip - GPU-specific kernel code not applicable
Bullet3Dynamics/b3CpuRigidBodyPipeline.cpp,GPU CPU fallback rigid body pipeline,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/b3CpuRigidBodyPipeline.h,GPU CPU fallback rigid body pipeline header,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3ContactSolverInfo.h,GPU contact solver configuration,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3FixedConstraint.cpp,GPU fixed constraint implementation,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3FixedConstraint.h,GPU fixed constraint header,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3Generic6DofConstraint.cpp,GPU 6DOF constraint implementation,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3Generic6DofConstraint.h,GPU 6DOF constraint header,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3JacobianEntry.h,GPU Jacobian matrix entry,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3PgsJacobiSolver.cpp,GPU PGS Jacobi solver implementation,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3PgsJacobiSolver.h,GPU PGS Jacobi solver header,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3Point2PointConstraint.cpp,GPU point-to-point constraint implementation,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3Point2PointConstraint.h,GPU point-to-point constraint header,Skip - GPU-specific code not applicable to TypeScript port
